CommitHash,CommitFileModifications,PATH FILE
8724aafaf4bfb0c2bc73848928689f8168b36efa,Thu Feb 02 01:20:21 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
68748defbd91e0c2359126188a66398151257ff9,Thu Feb 02 23:47:03 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
c5276e7fbd1d4dcacb31dc048760427128098e91,Fri Feb 03 19:04:25 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
7080ffb9ee36ba1e9f7d70f67cfbb11e0a407740,Fri Feb 03 19:18:57 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
9b4db571e986235c91b13da160fcc8b32f4edc1c,Fri Feb 03 19:33:56 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
14addec24264f9ea1d8c48c220ff6e3c3416ec09,Sat Feb 04 01:22:31 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
1d7f403f6467b503c1dc1b8cd7ab993e46a7b70f,Sat Feb 04 02:36:45 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
aa0cc2763570b8be8a51205a679392bfb56c9070,Sat Feb 04 13:29:29 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
8051bc639c5c5fbbaa852a7ce2b106feb63d289c,Sat Feb 04 13:52:48 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
ffea069d2585c0a0edf96cfa625fe1e47e0c22f4,Sun Feb 05 23:27:45 CET 2012,C:\Users\ussze\AppData\Local\Temp\RD-7104527883298406098\RD-7251566384244518227-NotePad-clone0\tests\src\com\example\android\notepad\NotePadProviderTest.java
