CommitHash,CommitMsg,CommitDate,CommitFileModifications,ModifiesJavaFile?
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,res/drawable/note_selector.xml,MODIFY
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,res/layout/activity_item_list.xml,MODIFY
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,MODIFY
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
dc1d30dc94e64e5e355e561d7c1bb81f658c2614,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
6398c9a20bfe14c1bb9f0a1853dbbca33b5910c5,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,MODIFY
4330023f6fa06bc708c5198de93dede4c28e81b3,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
9b2faaf6c12d258f91904bac4cea035f5fefa843,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
9b2faaf6c12d258f91904bac4cea035f5fefa843,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
9b2faaf6c12d258f91904bac4cea035f5fefa843,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
eb0f67abffa96f4bb82f41225de0dfdb2e8961dc,Federico Iosue,Federico Iosue,res/drawable/note_selector.xml,MODIFY
eb0f67abffa96f4bb82f41225de0dfdb2e8961dc,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
eb0f67abffa96f4bb82f41225de0dfdb2e8961dc,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
eb0f67abffa96f4bb82f41225de0dfdb2e8961dc,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
2ab10fdb29ac405e3d3c23cc855b3c4175941c78,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
2ab10fdb29ac405e3d3c23cc855b3c4175941c78,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,res/xml/settings.xml,ADD
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListActivity.java,MODIFY
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
