Class,LazyClass,ComplexClass,LongParameterList,FeatureEnvy,LongMethod,BlobClass,MessageChain,RefusedBequest,SpaghettiCode,SpeculativeGenerality,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC,Both,OO,OA
org.sufficientlysecure.keychain.operations.results.SingletonResult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.operations.SignEncryptOperation,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
org.sufficientlysecure.keychain.pgp.CanonicalizedKeyRing,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1
org.sufficientlysecure.keychain.pgp.CanonicalizedPublicKey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.pgp.CanonicalizedPublicKeyRing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.pgp.CanonicalizedSecretKey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.pgp.CanonicalizedSecretKeyRing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.pgp.exception.PgpGeneralException,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.pgp.exception.PgpGeneralMsgIdException,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
org.sufficientlysecure.keychain.pgp.exception.PgpKeyNotFoundException,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.pgp.KeyRing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
