CommitId;RefactoringType;RefactoringDetail
6a64dd276372a04cd5d0bf2397da5f1c911117ae;Rename Method;Rename Method	public nextReminderFromRecurrenceRule() : void renamed to public nextReminderFromRecurrenceRule_3days() : void in class it.feio.android.omninotes.utils.date.RecurrenceHelperTest
fc39a4285c8e9c69bc258c9ff06b5cf70f42e99f;Rename Method;Rename Method	public testShouldChangeSharedPrefrencesLanguage() : void renamed to public shouldChangeSharedPrefrencesLanguage() : void in class it.feio.android.omninotes.helpers.LanguageHelperTest
fc39a4285c8e9c69bc258c9ff06b5cf70f42e99f;Rename Method;Rename Method	public testShouldChangeAppLanguage() : void renamed to public shouldChangeAppLanguage() : void in class it.feio.android.omninotes.helpers.LanguageHelperTest
fc39a4285c8e9c69bc258c9ff06b5cf70f42e99f;Rename Method;Rename Method	public testSameStaticStringToEnsureTranslationsAreCorrect() : void renamed to public sameStaticStringToEnsureTranslationsAreCorrect() : void in class it.feio.android.omninotes.helpers.LanguageHelperTest
e861719a538e6dde71212f2e498172bfaf35ccec;Rename Method;Rename Method	public setUp() : void renamed to public setUpBeforeClass() : void in class it.feio.android.omninotes.BaseAndroidTestCase
03a0e84367213ee22f0d4d113b390bce7f2cedb4;Extract And Move Method;Extract And Move Method	package navigateUpSettings() : void extracted from private autoBackupActivationFromPreferences() : void in class it.feio.android.omninotes.AutoBackupTest & moved to class it.feio.android.omninotes.BaseEspressoTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testGetCurrentAppVersion() : void renamed to public shouldGetCurrentAppVersion() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testIsAppUpdatedFalse() : void renamed to public shouldaVerifyAppUpdatedFalse() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testIsAppUpdatedTrue() : void renamed to public shouldVerifyAppUpdatedTrue() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testGetAppVersionFromPreferences() : void renamed to public shouldGetAppVersionFromPreferences() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testGetCurrentAppVersionName() : void renamed to public shouldGetCurrentAppVersionName() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testLegacyVersionManagementRetrieval() : void renamed to public shouldWorkLegacyVersionManagementRetrieval() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
d0968747be767de635d8a56d17105175ee16d9ca;Rename Method;Rename Method	public testLegacyVersionManagementUpdateCheck() : void renamed to public shouldWorkLegacyVersionManagementUpdateCheck() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
cb7f96cc3f6b4f911959bd0ade04d4f14abb84ab;Rename Method;Rename Method	public testShouldChangeSharedPrefrencesLanguage() : void renamed to public shouldChangeSharedPrefrencesLanguage() : void in class it.feio.android.omninotes.helpers.LanguageHelperTest
cb7f96cc3f6b4f911959bd0ade04d4f14abb84ab;Rename Method;Rename Method	public testShouldChangeAppLanguage() : void renamed to public shouldChangeAppLanguage() : void in class it.feio.android.omninotes.helpers.LanguageHelperTest
cb7f96cc3f6b4f911959bd0ade04d4f14abb84ab;Rename Method;Rename Method	public testSameStaticStringToEnsureTranslationsAreCorrect() : void renamed to public sameStaticStringToEnsureTranslationsAreCorrect() : void in class it.feio.android.omninotes.helpers.LanguageHelperTest
cb7f96cc3f6b4f911959bd0ade04d4f14abb84ab;Pull Up Method;Pull Up Method	private createNote(title String, content String) : void from class it.feio.android.omninotes.AutoBackupTest to package createNote(title String, content String) : void from class it.feio.android.omninotes.BaseEspressoTest
cb7f96cc3f6b4f911959bd0ade04d4f14abb84ab;Extract And Move Method;Extract And Move Method	package navigateUp() : void extracted from public everyUpdateToNotesShouldTriggerAutobackup() : void in class it.feio.android.omninotes.AutoBackupTest & moved to class it.feio.android.omninotes.BaseEspressoTest
15b082d2d03e9ddf2f82981a8775bcec126c9ad5;Rename Method;Rename Method	public autoBackupActivationTest() : void renamed to public autoBackupPreferenceActivation() : void in class it.feio.android.omninotes.AutoBackupTest
15b082d2d03e9ddf2f82981a8775bcec126c9ad5;Rename Method;Rename Method	public autoBackupTest() : void renamed to public autoBackupWithNotesCheck() : void in class it.feio.android.omninotes.AutoBackupTest
15b082d2d03e9ddf2f82981a8775bcec126c9ad5;Extract Method;Extract Method	private enableAutobackup() : void extracted from public autoBackupTest() : void in class it.feio.android.omninotes.AutoBackupTest
3a7eaffe9cb1e5db26f7fe26a0af567b1e2228a8;Rename Method;Rename Method	public onStart() : void renamed to public onAttach(context Context) : void in class it.feio.android.omninotes.DetailFragment
74b6d1e680aa995b7d6d669fccb421ac06dafcd6;Rename Method;Rename Method	public setUp() : void renamed to public setUpBeforeClass() : void in class it.feio.android.omninotes.BaseAndroidTestCase
348696ece1da2386de65e9dca4ea964ce28f54c7;Extract Method;Extract Method	private importAttachments(i Intent) : void extracted from private handleIntents() : void in class it.feio.android.omninotes.DetailFragment
30efb35bb233f2be23d0b044b767e87008d559cb;Extract Method;Extract Method	private getFragmentManagerInstance() : FragmentManager extracted from private init() : void in class it.feio.android.omninotes.MainActivity
fe8b26e64d8247eef47b2d8e4eeafe083f5cdb74;Extract Method;Extract Method	private populateView(textView TextView, value String) : void extracted from private populateView(textView TextView, numberValue int) : void in class it.feio.android.omninotes.NoteInfosActivity
8d4926be1d2e38b8e2fc6c609bed3b8067694645;Rename Method;Rename Method	private showPopup(anchor View) : void renamed to private showAttachmentsPopup() : void in class it.feio.android.omninotes.DetailFragment
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Extract Superclass;Extract Superclass	it.feio.android.omninotes.models.StatsSingleNote from classes [it.feio.android.omninotes.models.Stats]
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public getAttachments() : int from class it.feio.android.omninotes.models.Stats to public getAttachments() : int from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public setAttachments(attachments int) : void from class it.feio.android.omninotes.models.Stats to public setAttachments(attachments int) : void from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public getImages() : int from class it.feio.android.omninotes.models.Stats to public getImages() : int from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public setImages(images int) : void from class it.feio.android.omninotes.models.Stats to public setImages(images int) : void from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public getVideos() : int from class it.feio.android.omninotes.models.Stats to public getVideos() : int from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public setVideos(videos int) : void from class it.feio.android.omninotes.models.Stats to public setVideos(videos int) : void from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public getAudioRecordings() : int from class it.feio.android.omninotes.models.Stats to public getAudioRecordings() : int from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public setAudioRecordings(audioRecordings int) : void from class it.feio.android.omninotes.models.Stats to public setAudioRecordings(audioRecordings int) : void from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public getSketches() : int from class it.feio.android.omninotes.models.Stats to public getSketches() : int from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public setSketches(sketches int) : void from class it.feio.android.omninotes.models.Stats to public setSketches(sketches int) : void from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public getFiles() : int from class it.feio.android.omninotes.models.Stats to public getFiles() : int from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Method;Pull Up Method	public setFiles(files int) : void from class it.feio.android.omninotes.models.Stats to public setFiles(files int) : void from class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected tags : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected attachments : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected images : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected videos : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
