CommitId;RefactoringType;RefactoringDetail
9a2f048e1a3bff88885f50dc09aad0c462c460e5;Move Source Folder;Move Source Folder	app/src/main to app/src/play
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public RADIUS : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Attribute;Move Attribute	protected searchManager : SearchManager from class com.nononsenseapps.notepad.ActivitySearch to class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Attribute;Move Attribute	protected list : ListView from class com.nononsenseapps.notepad.ActivitySearch to class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Attribute;Move Attribute	protected mAdapter : SimpleCursorAdapter from class com.nononsenseapps.notepad.ActivitySearch to class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Attribute;Move Attribute	protected mCallback : LoaderCallbacks<Cursor> from class com.nononsenseapps.notepad.ActivitySearch to class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Attribute;Move Attribute	protected mSearchView : SearchView from class com.nononsenseapps.notepad.ActivitySearch to class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	protected readAndSetSettings() : void from class com.nononsenseapps.notepad.ActivityMain to public readAndSetSettings(activity Activity) : void from class com.nononsenseapps.helpers.ActivityHelper
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	protected readAndSetSettings() : void from class com.nononsenseapps.notepad.ActivitySearch to public readAndSetSettings(activity Activity) : void from class com.nononsenseapps.helpers.ActivityHelper
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package setupAdapter() : void from class com.nononsenseapps.notepad.ActivitySearch to package setupAdapter() : void from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package doSearch(query String) : void from class com.nononsenseapps.notepad.ActivitySearch to protected doSearch(query String) : void from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getSearchUri() : Uri from class com.nononsenseapps.notepad.ActivitySearch to protected getSearchUri() : Uri from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getFields() : String[] from class com.nononsenseapps.notepad.ActivitySearch to protected getFields() : String[] from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getSortOrder() : String from class com.nononsenseapps.notepad.ActivitySearch to protected getSortOrder() : String from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getAdapter() : SimpleCursorAdapter from class com.nononsenseapps.notepad.ActivitySearch to protected getAdapter() : SimpleCursorAdapter from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getOnItemClickListener() : OnItemClickListener from class com.nononsenseapps.notepad.ActivitySearch to protected getOnItemClickListener() : OnItemClickListener from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getViewBinder() : ViewBinder from class com.nononsenseapps.notepad.ActivitySearch to protected getViewBinder() : ViewBinder from class com.nononsenseapps.notepad.fragments.FragmentSearch
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getSearchUri() : Uri from class com.nononsenseapps.notepad.ActivitySearchDeleted to protected getSearchUri() : Uri from class com.nononsenseapps.notepad.fragments.FragmentSearchDeleted
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getFields() : String[] from class com.nononsenseapps.notepad.ActivitySearchDeleted to protected getFields() : String[] from class com.nononsenseapps.notepad.fragments.FragmentSearchDeleted
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getSortOrder() : String from class com.nononsenseapps.notepad.ActivitySearchDeleted to protected getSortOrder() : String from class com.nononsenseapps.notepad.fragments.FragmentSearchDeleted
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getOnItemClickListener() : OnItemClickListener from class com.nononsenseapps.notepad.ActivitySearchDeleted to protected getOnItemClickListener() : OnItemClickListener from class com.nononsenseapps.notepad.fragments.FragmentSearchDeleted
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getAdapter() : SimpleCursorAdapter from class com.nononsenseapps.notepad.ActivitySearchDeleted to protected getAdapter() : SimpleCursorAdapter from class com.nononsenseapps.notepad.fragments.FragmentSearchDeleted
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	package getViewBinder() : ViewBinder from class com.nononsenseapps.notepad.ActivitySearchDeleted to protected getViewBinder() : ViewBinder from class com.nononsenseapps.notepad.fragments.FragmentSearchDeleted
a8323f03da3cbc68ba4fee5eeac67fb3b485a18a;Move Method;Move Method	protected readAndSetSettings() : void from class com.nononsenseapps.notepad.ActivityTaskHistory to public readAndSetSettings(activity Activity) : void from class com.nononsenseapps.helpers.ActivityHelper
41259992137e06e817df643a21d5013576a0fe7a;Extract Method;Extract Method	private getNotificationBuilder(context Context priority int lightAndVibrate int ringtone Uri alertOnce boolean) : NotificationCompat.Builder extracted from private notifyPast(context Context alertOnce boolean) : void in class com.nononsenseapps.helpers.NotificationHelper
e45037b6f9b6f13b901758d222c38c1f01883a5a;Extract Method;Extract Method	public save(context Context updateTime long) : int extracted from public save(context Context) : int in class com.nononsenseapps.notepad.database.TaskList
6d077cfab07e4ad389630ffafda7e13a7a763248;Extract Superclass;Extract Superclass	com.nononsenseapps.notepad.database.RemoteTask from classes [com.nononsenseapps.notepad.sync.googleapi.GoogleTask]
6d077cfab07e4ad389630ffafda7e13a7a763248;Extract Superclass;Extract Superclass	com.nononsenseapps.notepad.database.RemoteTaskList from classes [com.nononsenseapps.notepad.sync.googleapi.GoogleTaskList]
6d077cfab07e4ad389630ffafda7e13a7a763248;Move Attribute;Move Attribute	public AUTH_TOKEN_TYPE : String from class com.nononsenseapps.notepad.sync.SyncAdapter to class com.nononsenseapps.notepad.sync.googleapi.GoogleTaskSync
6d077cfab07e4ad389630ffafda7e13a7a763248;Move Attribute;Move Attribute	public NOTIFY_AUTH_FAILURE : boolean from class com.nononsenseapps.notepad.sync.SyncAdapter to class com.nononsenseapps.notepad.sync.googleapi.GoogleTaskSync
6d077cfab07e4ad389630ffafda7e13a7a763248;Move Attribute;Move Attribute	public PREFS_LAST_SYNC_ETAG : String from class com.nononsenseapps.notepad.sync.SyncAdapter to class com.nononsenseapps.notepad.sync.googleapi.GoogleTaskSync
