CommitId;RefactoringType;RefactoringDetail
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityLog to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivitySettings.XmlImportHandler to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.RuleAdapter to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityForwarding to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityLog to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivitySettings.XmlImportHandler to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.RuleAdapter to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityForwarding to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityLog to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.ActivitySettings.XmlImportHandler to class eu.faircode.netguard.DatabaseHelper
e738cddd80f0ec5b8417396bcc030a4c69ff82d9;Move Attribute;Move Attribute	private dh : DatabaseHelper from class eu.faircode.netguard.RuleAdapter to class eu.faircode.netguard.DatabaseHelper
27cc16eb2ee59e5069c300fc2b973a7237f3c60e;Rename Class;Rename Class	eu.faircode.netguard.ActivityForward renamed to eu.faircode.netguard.ActivityForwardApproval
02a665103edb039e44fca661b8696afa3d9b9be5;Extract Method;Extract Method	private checkPermissions() : void extracted from protected onResume() : void in class eu.faircode.netguard.ActivitySettings
c665f114b413bd37c94845a3e67901f972316496;Extract Method;Extract Method	private applyFilter() : void extracted from protected onResume() : void in class eu.faircode.netguard.ActivityLog
c665f114b413bd37c94845a3e67901f972316496;Extract And Move Method;Extract And Move Method	public setResolve(resolve boolean) : void extracted from public onOptionsItemSelected(item MenuItem) : boolean in class eu.faircode.netguard.ActivityLog & moved to class eu.faircode.netguard.LogAdapter
e6d946570a5bcaa441fa2050566b0997e7891cf7;Rename Method;Rename Method	public resolveDNS(ip String) : ResourceRecord renamed to public reverseDNS(ip String) : ResourceRecord in class eu.faircode.netguard.SinkholeService
46fd086337a8765f72c9a7178e4d38571e5f7719;Rename Method;Rename Method	public clear() : DatabaseHelper renamed to public clearLog() : DatabaseHelper in class eu.faircode.netguard.DatabaseHelper
08bbc907c93772f8f4bdf2a9d7af1df474657aa0;Rename Method;Rename Method	public removeLocationChangedListener(listener LogChangedListener) : void renamed to public removeLogChangedListener(listener LogChangedListener) : void in class eu.faircode.netguard.DatabaseHelper
da825d3c73735551068007c6698c35d8a7a7daf8;Extract Method;Extract Method	private stopNative(vpn ParcelFileDescriptor clear boolean) : void extracted from public onDestroy() : void in class eu.faircode.netguard.SinkholeService
e16c4c4af296773dc5517023e99cc57a76037d95;Extract Method;Extract Method	private prepareAllowed(listAllowed List<Rule>) : void extracted from private startNative(vpn ParcelFileDescriptor listAllowed List<Rule>) : void in class eu.faircode.netguard.SinkholeService
94ec8a5266d5c749c444599540659a1cbb5d0a7b;Move Attribute;Move Attribute	private mapIPHost : Map<StringString> from class eu.faircode.netguard.LogAdapter to class eu.faircode.netguard.Util
94ec8a5266d5c749c444599540659a1cbb5d0a7b;Move Attribute;Move Attribute	private mapIPHost : Map<StringString> from class eu.faircode.netguard.LogAdapter to class eu.faircode.netguard.Util
94ec8a5266d5c749c444599540659a1cbb5d0a7b;Move Attribute;Move Attribute	private mapIPHost : Map<StringString> from class eu.faircode.netguard.LogAdapter to class eu.faircode.netguard.Util
94ec8a5266d5c749c444599540659a1cbb5d0a7b;Extract And Move Method;Extract And Move Method	public resolveName(name String tv TextView) : void extracted from public bindView(view View context Context cursor Cursor) : void in class eu.faircode.netguard.LogAdapter & moved to class eu.faircode.netguard.Util
3787fc9190525b80224674bd3b1be6ebb1a83c29;Extract Method;Extract Method	private getDns() : String extracted from private startVPN(listAllowed List<Rule>) : ParcelFileDescriptor in class eu.faircode.netguard.SinkholeService
47be2c367ef786c244ee8ddfaf8202eb4cd90793;Extract And Move Method;Extract And Move Method	private startNative(listAllowed List<Rule>) : void extracted from private start() : void in class eu.faircode.netguard.SinkholeService.ServiceHandler & moved to class eu.faircode.netguard.SinkholeService
47be2c367ef786c244ee8ddfaf8202eb4cd90793;Extract And Move Method;Extract And Move Method	private startNative(listAllowed List<Rule>) : void extracted from private reload() : void in class eu.faircode.netguard.SinkholeService.ServiceHandler & moved to class eu.faircode.netguard.SinkholeService
0b03b6c443be6a85f458710ddc9fb74b2d8d7dfa;Rename Method;Rename Method	private getIntentCreateDocument() : Intent renamed to private getIntentCreateExport() : Intent in class eu.faircode.netguard.ActivitySettings
0b03b6c443be6a85f458710ddc9fb74b2d8d7dfa;Rename Method;Rename Method	private getIntentOpenDocument() : Intent renamed to private getIntentOpenExport() : Intent in class eu.faircode.netguard.ActivitySettings
c7557ff2fae8a1b9a7a302e801bcd4c8fdb9a9c6;Extract And Move Method;Extract And Move Method	private getAllowedUids(listAllowed List<Rule>) : int[] extracted from private start() : void in class eu.faircode.netguard.SinkholeService.ServiceHandler & moved to class eu.faircode.netguard.SinkholeService
c7557ff2fae8a1b9a7a302e801bcd4c8fdb9a9c6;Extract And Move Method;Extract And Move Method	private getAllowedUids(listAllowed List<Rule>) : int[] extracted from private reload() : void in class eu.faircode.netguard.SinkholeService.ServiceHandler & moved to class eu.faircode.netguard.SinkholeService
09481772a024ca3cf21da85b84dcd1caaa0a7960;Extract Method;Extract Method	private run() : void extracted from private handleIntent(intent Intent) : void in class eu.faircode.netguard.SinkholeService.ServiceHandler
09481772a024ca3cf21da85b84dcd1caaa0a7960;Extract Method;Extract Method	private start() : void extracted from private handleIntent(intent Intent) : void in class eu.faircode.netguard.SinkholeService.ServiceHandler
09481772a024ca3cf21da85b84dcd1caaa0a7960;Extract Method;Extract Method	private reload() : void extracted from private handleIntent(intent Intent) : void in class eu.faircode.netguard.SinkholeService.ServiceHandler
09481772a024ca3cf21da85b84dcd1caaa0a7960;Extract Method;Extract Method	private stop() : void extracted from private handleIntent(intent Intent) : void in class eu.faircode.netguard.SinkholeService.ServiceHandler
05c01f08e0a9c5090eb244c1e899516077e4fa67;Move Attribute;Move Attribute	private REQUEST_PCAP : int from class eu.faircode.netguard.ActivitySettings to class eu.faircode.netguard.ActivityLog
05c01f08e0a9c5090eb244c1e899516077e4fa67;Move Attribute;Move Attribute	private REQUEST_PCAP : int from class eu.faircode.netguard.ActivitySettings to class eu.faircode.netguard.ActivityLog
05c01f08e0a9c5090eb244c1e899516077e4fa67;Move Attribute;Move Attribute	private REQUEST_PCAP : int from class eu.faircode.netguard.ActivitySettings to class eu.faircode.netguard.ActivityLog
05c01f08e0a9c5090eb244c1e899516077e4fa67;Extract Method;Extract Method	public setPcap(enabled boolean context Context) : void extracted from public onCreate() : void in class eu.faircode.netguard.SinkholeService
05c01f08e0a9c5090eb244c1e899516077e4fa67;Move Method;Move Method	private getIntentPCAPDocument() : Intent from class eu.faircode.netguard.ActivitySettings to private getIntentPCAPDocument() : Intent from class eu.faircode.netguard.ActivityLog
05c01f08e0a9c5090eb244c1e899516077e4fa67;Move Method;Move Method	private handleExportPCAP(data Intent) : void from class eu.faircode.netguard.ActivitySettings to private handleExportPCAP(data Intent) : void from class eu.faircode.netguard.ActivityLog
d6d82786230c0a435a353ed570ff2dd22447a35f;Move Method;Move Method	public getUid() : int from class eu.faircode.netguard.Packet to public getUid(version int source InetAddress sport int protocol int) : int from class eu.faircode.netguard.SinkholeService
d6d82786230c0a435a353ed570ff2dd22447a35f;Move Method;Move Method	private scanUid(addr String name String) : int from class eu.faircode.netguard.Packet to private scanUid(addr String name String) : int from class eu.faircode.netguard.SinkholeService
051fc0a8d792f766b99953181149f888d262d1e4;Inline Method;Inline Method	public setTheme(context Context) : void inlined to public onCreate() : void in class eu.faircode.netguard.SinkholeService
4ee4b2483d7de2486438fed61989463d40462d84;Rename Method;Rename Method	private dump(name String) : void renamed to private dumpProc(name String) : void in class eu.faircode.netguard.Packet
9db05d1dd0645f241b9254915afac1af0d3c38f3;Rename Class;Rename Class	eu.faircode.netguard.IPv4Packet renamed to eu.faircode.netguard.Packet
9db05d1dd0645f241b9254915afac1af0d3c38f3;Rename Class;Rename Class	eu.faircode.netguard.IPv4Packet.UDPHeader renamed to eu.faircode.netguard.Packet.IPv6Header
06ec2537fb92692b991110011c1f7f1f6b440a7c;Rename Class;Rename Class	eu.faircode.netguard.Packet renamed to eu.faircode.netguard.IPv4Packet
2f376480f7a6fc8b5391f96b5b232f6a0489e88a;Rename Method;Rename Method	public getUid4() : int renamed to public getUid() : int in class eu.faircode.netguard.Packet
e217a84ba85a8b15d2b5e8dbb1bae0a15c093a11;Rename Method;Rename Method	private stopDebug() : void renamed to private stopReceiving() : void in class eu.faircode.netguard.SinkholeService
806f797eaff6b39a1488e13530b9fa47e2df59a4;Rename Method;Rename Method	private getForegroundNotification(allowed int blocked int) : Notification renamed to private getEnforcingNotification(allowed int blocked int) : Notification in class eu.faircode.netguard.SinkholeService
e718655501aa201f63c7c71a05653da6b30c8f25;Rename Method;Rename Method	public notifyApplication(uid int context Context) : void renamed to public notifyNewApplication(uid int context Context) : void in class eu.faircode.netguard.Receiver
730844b3cc343a6d7407ba06280b18f987eda3f6;Extract Method;Extract Method	public setTheme(context Context) : void extracted from public onCreate() : void in class eu.faircode.netguard.SinkholeService
b1fcc24c26dde49bda41a69d1b76e6ef10fa99dc;Extract Method;Extract Method	public getPurchases() : List<String> extracted from public isPurchased(sku String) : boolean in class eu.faircode.netguard.IAB
b1fcc24c26dde49bda41a69d1b76e6ef10fa99dc;Rename Method;Rename Method	public sha256(text String salt String) : String renamed to public md5(text String salt String) : String in class eu.faircode.netguard.Util
28f4ac1de3e368ce925c80a66f7a06fc597407a1;Rename Method;Rename Method	private IABisAvailable(sku String) : boolean renamed to private isAvailable(sku String) : boolean in class eu.faircode.netguard.IAB
